Species,state
Acanthixalus_sonjae,0
Acanthixalus_spinosus,0
Afrixalus_brachycnemis,0
Afrixalus_delicatus,0
Afrixalus_dorsalis_1,0
Afrixalus_dorsalis_2,0
Afrixalus_dorsalis_3,0
Afrixalus_dorsimaculatus_1,0
Afrixalus_dorsimaculatus_2,0
Afrixalus_enseticola,0
Afrixalus_equatorialis,0
Afrixalus_fornasini,0
Afrixalus_fulvovittatus_1,0
Afrixalus_fulvovittatus_2,0
Afrixalus_knysae,0
Afrixalus_lacteus,0
Afrixalus_lacustris,0
Afrixalus_laevis,0
Afrixalus_morerei,0
Afrixalus_nigeriensis,0
Afrixalus_osorioi,0
Afrixalus_paradorsalis_1,0
Afrixalus_paradorsalis_2,0
Afrixalus_paradorsalis_3,0
Afrixalus_quadrivittatus_1,0
Afrixalus_quadrivittatus_2,0
Afrixalus_spinifrons,0
Afrixalus_stuhlmanni,0
Afrixalus_sylvaticus,0
Afrixalus_vibekensis,0
Afrixalus_vittiger_1,0
Afrixalus_vittiger_2,0
Afrixalus_weidholzi,0
Afrixalus_wittei,0
Arthroleptis_adelphus,0
Arthroleptis_affinis,0
Arthroleptis_bioko,0
Arthroleptis_brevipes,0
Arthroleptis_fichika,0
Arthroleptis_francei,0
Arthroleptis_nikeae,0
Arthroleptis_palava,0
Arthroleptis_perreti,0
Arthroleptis_poecilonotus,0
Arthroleptis_reichei,0
Arthroleptis_schubotzi,0
Arthroleptis_stenodactylus,0
Arthroleptis_sylvaticus,0
Arthroleptis_taeniatus,0
Arthroleptis_tanneri,0
Arthroleptis_variabilis,0
Arthroleptis_xenodactyloides,0
Astylosternus_batesi,0
Astylosternus_diadematus,0
Astylosternus_laticephalus,0
Astylosternus_occidentalis,0
Astylosternus_schioetzi,0
Balebreviceps_hillmani,0
Breviceps_adspersus,0
Breviceps_branchi,0
Breviceps_fuscus,0
Breviceps_gibbosus,0
Breviceps_macrops,0
Breviceps_montanus,0
Breviceps_mossambicus,0
Breviceps_namaquensis,0
Callulina_dawida,0
Callulina_hanseni,0
Callulina_kanga,0
Callulina_kisiwamsitu,0
Callulina_kreffti,0
Callulina_laphami,0
Callulina_meteora,0
Callulina_shengena,0
Callulina_sp_Rubeho,0
Callulina_sp_lowland,0
Callulina_stanleyi,0
Cardioglossa_annulata,0
Cardioglossa_elegans,0
Cardioglossa_escalerae,0
Cardioglossa_gracilis,0
Cardioglossa_leucomystax,0
Cardioglossa_manengouba,0
Cardioglossa_melanogaster,0
Cardioglossa_nigromaculata,0
Cardioglossa_occidentalis,0
Cardioglossa_oreas,0
Cardioglossa_pulchra,0
Cardioglossa_trifasciata,0
Chlorolius_koehleri,0
Cryptothylax_greshoffii,1
Hemisus_marmoratus,0
Hemisus_sudanensis,0
Heterixalus_alboguttatus,1
Heterixalus_andrakata,0
Heterixalus_betsileo,0
Heterixalus_boettgeri,0
Heterixalus_carbonei,0
Heterixalus_luteostriatus,0
Heterixalus_madagascariensis,0
Heterixalus_punctatus,0
Heterixalus_rutenbergi,0
Heterixalus_tricolor,1
Heterixalus_variabilis,1
Hyperolius_acuticeps,0
Hyperolius_ademetzi,1
Hyperolius_adspersus,0
Hyperolius_argus,1
Hyperolius_balfouri_1,0
Hyperolius_balfouri_2,0
Hyperolius_baumanni,0
Hyperolius_benguellensis,0
Hyperolius_bobirensis,0
Hyperolius_bocagei,1
Hyperolius_bolifambae,1
Hyperolius_burgessi,0
Hyperolius_camerunensis,1
Hyperolius_castaneus,0
Hyperolius_chlorosteus,0
Hyperolius_cinereus,0
Hyperolius_cinnamomeoventris_1,1
Hyperolius_cinnamomeoventris_2,1
Hyperolius_cinnamomeoventris_3,1
Hyperolius_concolor_1,1
Hyperolius_concolor_2,1
Hyperolius_concolor_3,1
Hyperolius_cystocandicans,0
Hyperolius_dartevellei,0
Hyperolius_dintelmanni,1
Hyperolius_discodactylus,0
Hyperolius_endjami_1,1
Hyperolius_endjami_2,1
Hyperolius_friedemanni,0
Hyperolius_frontalis,0
Hyperolius_fusciventris_1,1
Hyperolius_fusciventris_2,1
Hyperolius_guttulatus_1,1
Hyperolius_guttulatus_2,1
Hyperolius_howelli,0
Hyperolius_igbettensis,0
Hyperolius_inyangae,0
Hyperolius_jackie,0
Hyperolius_jacobseni,0
Hyperolius_kivuensis_1,0
Hyperolius_kivuensis_2,0
Hyperolius_kivuensis_3,0
Hyperolius_kuligae,1
Hyperolius_lamottei,0
Hyperolius_langi,1
Hyperolius_lateralis,0
Hyperolius_lupiroensis,0
Hyperolius_mariae,0
Hyperolius_marmoratus_marmoratus,1
Hyperolius_marmoratus_swynnertoni,1
Hyperolius_marmoratus_taeniatus,1
Hyperolius_minitissimus,0
Hyperolius_mitchelli,0
Hyperolius_molleri,0
Hyperolius_montanus,0
Hyperolius_mosaicus,0
Hyperolius_nasutus,0
Hyperolius_nitidulus_1,1
Hyperolius_nitidulus_2,1
Hyperolius_occidentalis,1
Hyperolius_ocellatus_1,1
Hyperolius_ocellatus_2,1
Hyperolius_parallelus_alborufus,1
Hyperolius_parallelus_marginatus,1
Hyperolius_parallelus_parallelus,1
Hyperolius_parallelus_pyrrhodictyon,1
Hyperolius_pardalis,1
Hyperolius_parkeri,1
Hyperolius_phantasticus,1
Hyperolius_picturatus,1
Hyperolius_pictus,0
Hyperolius_platyceps,1
Hyperolius_poweri,0
Hyperolius_pseudoargus,0
Hyperolius_pusillus,0
Hyperolius_quinquevittatus,0
Hyperolius_raymondii,1
Hyperolius_reesi,0
Hyperolius_riggenbachi,1
Hyperolius_rubrovermiculatus,0
Hyperolius_rwandae,0
Hyperolius_semidiscus,0
Hyperolius_sp_nov_1,1
Hyperolius_sp_nov_2,0
Hyperolius_spatzi,1
Hyperolius_spinigularis,0
Hyperolius_steindachneri,1
Hyperolius_substriatus,0
Hyperolius_sylvaticus,1
Hyperolius_tanneri,0
Hyperolius_thomensis,0
Hyperolius_torrentis,1
Hyperolius_tuberculatus,1
Hyperolius_tuberilinguis,1
Hyperolius_veithi,0
Hyperolius_viridiflavus_destefanii,1
Hyperolius_viridiflavus_glandicolor,1
Hyperolius_viridiflavus_ngorongoriensis,1
Hyperolius_viridiflavus_ommatostictus,1
Hyperolius_viridiflavus_pantherinus,1
Hyperolius_viridiflavus_pitmani,1
Hyperolius_viridiflavus_sp,1
Hyperolius_viridiflavus_variablilis,1
Hyperolius_viridis,0
Hyperolius_zonatus,0
Kassina_arboricola,0
Kassina_cassinoides,0
Kassina_cochranae,0
Kassina_decorata,0
Kassina_fusca,0
Kassina_kuvangensis,0
Kassina_lamottei,0
Kassina_maculosa,0
Kassina_schioetzi,0
Kassina_senegalensis,0
Leptodactylodon_axillaris,0
Leptodactylodon_bicolor,0
Leptodactylodon_boulengeri,0
Leptodactylodon_bueanus,0
Leptodactylodon_erythrogaster,0
Leptodactylodon_mertensi,0
Leptodactylodon_ornatus,0
Leptodactylodon_ovatus,0
Leptodactylodon_perreti,0
Leptodactylodon_polyacanthus,0
Leptodactylodon_ventrimarmoratus,0
Leptopelis_argenteus,0
Leptopelis_aubryi,0
Leptopelis_aubryioides,0
Leptopelis_bocagii,0
Leptopelis_boulengeri,0
Leptopelis_brevirostris,0
Leptopelis_calcaratus,0
Leptopelis_fiziensis,0
Leptopelis_flavomaculatus,0
Leptopelis_gramineus,0
Leptopelis_karissimbensis,0
Leptopelis_kivuensis,0
Leptopelis_macrotis,0
Leptopelis_millsoni,0
Leptopelis_modestus,0
Leptopelis_natalensis,0
Leptopelis_nordequatorialis,0
Leptopelis_notatus,0
Leptopelis_ocellatus,0
Leptopelis_palmatus,0
Leptopelis_parkeri,0
Leptopelis_rufus,0
Leptopelis_spiritusnoctis,0
Leptopelis_susanae,0
Leptopelis_vannutellii,0
Leptopelis_vermiculatus,0
Leptopelis_viridis,0
Leptopelis_yaldeni,0
Morerella_cyanophthalma,1
Nyctibates_corrugatus,0
Opisthothylax_immaculatus,0
Paracassina_kounhiensis,0
Paracassina_obscura,0
Phlyctimantis_boulengeri,0
Phlyctimantis_keithae,0
Phlyctimantis_leonardi,0
Phlyctimantis_maculata,0
Phlyctimantis_verrucosus,0
Phrynomantis_microps,0
Probreviceps_durirostris,0
Probreviceps_loveridgei,0
Probreviceps_macrodactylus,0
Probreviceps_rungwensis,0
Probreviceps_sp_Kigogo,0
Probreviceps_sp_Nguru,0
Probreviceps_sp_Rubeho,0
Probreviceps_sp_Udzungwa,0
Probreviceps_uluguruensis,0
Scotobleps_gabonicus,0
Semnodactylus_wealii,0
Spelaeophryne_methneri,0
Tachycnemis_seychellensis,1
Trichobatrachus_robustus,0